ax,ay,az,gx,gy,gz
3.9193,-9.0309,-0.0862,0.1266,0.0405,0.0637
3.8595,-8.9926,-0.1484,0.1553,0.0362,0.0610
3.9768,-9.1770,-0.2298,0.1300,0.0490,0.0274
3.8451,-9.1650,-0.1269,0.1609,0.0258,0.0314
3.8188,-9.3446,-0.0431,0.1492,-0.0061,-0.0480
3.5171,-8.8442,-0.0503,0.1935,-0.0746,-0.0863
3.9049,-9.2464,-0.2562,0.0629,-0.0738,-0.0165
4.0079,-9.1147,-0.2346,0.1681,-0.0067,0.0317
3.9696,-9.2201,-0.2945,0.1628,0.0434,-0.0352
3.8954,-8.9088,-0.1173,0.0967,-0.0144,-0.0011
3.9648,-9.0453,-0.1987,0.0682,0.0019,-0.0600
4.1037,-9.1075,-0.0910,0.1487,-0.0357,-0.0176
4.0821,-9.1866,-0.1532,0.3096,-0.0221,-0.0402
4.2832,-9.4427,-0.0551,-0.1567,0.0666,-0.2329
4.3215,-8.9376,-0.1293,0.3501,-0.0248,0.1023
4.2210,-8.9950,-0.0311,0.1809,0.0597,0.0226
4.4341,-8.9280,-0.1484,0.1258,-0.0048,-0.0253
4.1635,-8.7604,-0.0407,0.1569,-0.0115,0.0147
4.3000,-8.9926,-0.0072,0.1300,-0.0253,0.0016
4.0103,-9.0429,0.0838,0.2952,-0.0469,-0.0211
4.8363,-9.1219,0.5818,0.2443,-0.0120,-0.1540
4.6088,-9.3422,0.4669,0.3088,-0.0144,-0.1868
5.3367,-8.3701,0.4549,0.1815,0.0115,-0.0394
4.8195,-9.0692,0.4022,0.0240,-0.0520,0.1599
4.9249,-8.8897,0.0742,0.0024,-0.0754,0.0525
4.2114,-8.3821,0.0742,0.0573,-0.1010,-0.0333
4.6424,-8.7700,-0.1867,0.0618,0.0133,0.1050
4.3407,-8.4324,-0.6177,0.0280,0.0325,0.1966
4.0965,-8.9663,0.0646,0.0048,0.1183,-0.0136
4.6471,-8.4779,-0.6440,0.1865,0.0085,-0.1295
4.4963,-8.8394,-0.8116,0.1053,0.0288,-0.1516
4.6495,-9.0668,-0.1772,0.1095,0.0517,-0.1095
4.9967,-7.7835,-0.6871,-0.0959,0.0338,-0.4024
5.2194,-8.3366,-0.9577,0.2356,0.0346,0.0141
5.5210,-8.0062,-0.9074,0.1820,0.0336,-0.0989
5.4899,-7.5346,-0.8547,0.1439,0.0890,-0.1023
1.1205,-1.4246,-0.0263,0.2118,-0.0197,-0.0131
6.0549,-7.8817,-0.0527,0.2425,-0.0205,0.0037
6.0190,-7.9847,-0.0383,0.1569,-0.0538,0.0312
6.0932,-8.1116,-0.0263,0.1580,-0.0360,-0.0338
6.0478,-7.8937,-0.0287,0.1535,-0.0280,-0.0362
6.1483,-7.9823,0.1556,0.3677,0.0573,-0.0597
6.2249,-8.3725,0.0551,0.1167,0.0813,0.0179
Samples stored: 44
9.8186,0.4214,1.5826,0.0245,0.0165,-0.0653
10.0892,-0.3208,1.4676,0.1266,-0.1207,0.1735
10.2568,-0.1101,1.1779,0.2030,-0.1146,0.0514
10.1442,-0.0551,1.1372,0.1988,-0.0384,0.0650
10.7859,-1.7023,1.1875,0.3818,-0.0373,0.1282
9.2751,-1.2258,0.0934,-0.0120,0.0490,-0.0703
9.6391,-0.6345,0.3543,-0.5353,0.1340,0.1455
10.0916,1.0822,-0.1317,-0.3621,0.2134,-0.0490
8.7867,1.0678,1.1013,0.2531,0.5020,0.2038
8.2624,-0.8260,2.3966,0.5905,0.7139,0.5564
7.1299,-1.5538,4.8602,-0.5780,0.9377,0.3416
4.4628,-4.8315,2.5211,-1.7096,1.6510,0.4986
3.8020,-8.9495,2.7294,-2.4573,2.0294,0.7333
-0.2658,-12.8353,-1.3216,-2.7416,2.2068,1.7368
-2.0518,-9.6989,-2.0255,-1.8431,1.4501,0.0749
4.4077,-9.6941,-7.2616,-3.1059,0.7639,-0.6342
4.7956,-5.5474,-9.5385,-3.6327,0.4191,0.1684
