ax,ay,az,gx,gy,gz
Samples stored: 73
10.3070,2.3008,2.5426,0.2049,0.0578,0.1021
9.3877,1.5299,2.8443,0.0008,0.0354,0.1652
10.7524,0.2873,1.9656,0.0538,-0.1346,0.2590
10.6087,-0.2873,2.4325,0.1458,0.1314,0.2992
9.9647,0.5100,2.5379,-0.1620,0.3035,-0.2145
8.7580,3.4477,3.4357,-0.6150,0.7139,-1.0816
7.5322,5.7054,4.5083,-1.2772,0.8375,-1.2814
7.0773,6.0932,5.2409,-1.2753,-0.1839,-0.6230
7.9847,3.6272,5.4923,-0.1311,-1.1722,-0.8684
7.0557,5.1787,0.7638,1.3694,-1.9049,-0.9942
9.0166,12.5959,2.6001,0.3304,0.8170,0.4919
-3.4979,0.7518,1.3024,-0.6888,-0.1777,0.3525
9.5193,1.5036,-6.0262,1.9300,-1.4962,0.5902
8.3965,1.3408,-2.3870,-0.0211,0.1037,1.4629
8.5138,3.0598,3.5027,-2.1400,0.9691,-1.1423
11.2887,8.9950,8.7700,-3.0723,0.8167,-1.2004
8.6383,-1.6927,5.0542,-6.2038,0.1466,-0.0370
28.0241,4.9560,7.0078,-7.5321,-2.1296,1.1277
1.4102,-21.3275,0.8356,-3.6487,-3.3609,2.0550
6.1818,3.0718,-6.0358,-0.4660,-2.0502,-3.4558
14.2383,11.7747,-7.6543,-0.4826,-0.4791,-3.0049
13.2854,-0.8691,-6.4643,0.8769,-0.7554,0.5494
8.0972,5.1356,-3.4261,-0.1106,0.5100,-1.6132
8.4084,3.6464,-2.5235,-0.6403,0.5532,0.1466
10.8386,7.7093,-0.4429,0.4519,-0.0522,0.5982
13.5296,7.4412,-1.7717,-0.1655,-0.3970,0.7709
9.1937,1.9178,-3.0478,-0.3605,-0.0325,1.1943
11.9064,-0.9505,-3.9002,0.4010,0.3957,-0.6755
6.3518,5.1092,0.2490,1.2497,1.4573,-2.0291
2.0614,4.2329,0.6608,1.9601,1.3646,-0.8860
5.2457,0.1053,4.1300,0.0370,-0.0546,1.8914
12.2320,-5.5234,-1.8459,-0.5404,1.0632,1.5831
18.3803,-5.8442,-5.6599,-0.2638,-0.1330,0.5438
14.9566,-6.2345,-3.1867,-1.6686,0.2137,0.0091
12.1937,-3.8164,-4.1611,-1.2207,0.3032,0.1047
8.4276,-3.3160,-1.6999,-0.0378,-0.0637,0.7738
6.1723,-0.7374,2.3798,-1.8732,0.5359,0.5401
5.9759,-3.8714,2.7845,-1.8271,0.6707,0.5025
8.4922,-3.2825,-0.9816,-2.1051,0.2718,0.6070
7.8434,-3.8475,-3.9002,-1.0275,-0.3453,0.1503
6.9671,1.8555,-1.2354,-0.3485,-0.0274,0.0368
12.9957,0.2897,-3.0598,-0.2633,-0.1972,0.7413
10.6183,-2.0303,-0.7781,0.7072,-0.5345,1.4568
3.7852,-3.1220,2.8946,-0.7837,0.4359,1.0014
8.9447,-7.3239,0.0239,0.1903,-0.9654,1.3728
-5.2912,2.7078,1.7693,0.3019,-1.2625,0.4903
7.2664,-9.7468,-2.1548,-0.5550,0.1255,1.7421
5.1092,-10.6518,-6.6822,-0.7005,1.2039,0.3171
7.3334,-10.4746,-7.6806,-0.2875,0.1879,-0.0104
5.5162,-6.8594,-5.6192,-0.0165,0.1191,0.3573
1.0175,-6.1555,-1.0942,0.1801,0.7783,0.0378
5.1236,-6.0645,-0.6512,-0.0091,0.2419,0.2910
6.1292,-7.9918,-1.3072,-0.3746,0.6081,0.0181
7.3047,-9.5385,-3.3782,-0.8338,0.7642,-0.1769
11.3437,-7.7859,-6.1483,-0.8172,0.8735,-0.5132
7.1443,-4.2162,-4.3694,-0.6837,0.9531,-0.0075
6.8809,-0.0934,-3.9935,0.0269,0.4644,0.3541
3.4860,-2.8515,-1.1229,0.2300,0.1178,0.9110
6.2345,-6.7828,-2.0135,0.4114,-0.2270,1.2414
2.5642,-8.4779,-2.3703,1.1397,-0.0274,0.8913
5.9185,-7.8195,-0.0838,1.2710,0.4143,0.3768
3.1101,-10.3932,-0.3950,0.3062,0.3323,0.0773
4.3670,-8.9447,-0.3089,0.1359,0.9470,-0.2449
4.4963,-8.5545,-0.2753,-0.1753,0.6113,-0.2569
5.6623,-9.2536,-0.9361,-0.9643,0.4868,-0.1303
4.6926,-6.6272,-1.1540,-0.8151,0.4437,-0.0552
