MPU6050 Found!
-0.22,-0.02
2.44,-9.35,2.80,0.04,-0.24,0.12
2.16,-9.89,2.05,-0.28,-0.24,0.18
1.74,0.41,0.11,-0.22,0.08
2.43,-9.56,2.20,0.14,-0.22,-0.02
2.44,-9.35,2.80,0.04,-0.24,0.12
2.16,-9.89,2.05,-0.28,-0.24,0.18
MPU6050 Found!
MAX_SAMPLES: 170
Resuming from sample #65535
Send 'd' to dump, 'c' to clear.
0.08,-1.69,-0.36,0.21,-0.01,0.03
0.36,-9.48,-1.81,0.19,0.02,0.02
0.65,-9.27,-1.80,0.06,0.11,-0.01
0.94,-9.14,-1.98,0.12,0.10,-0.09
0.53,-9.41,-1.91,0.23,0.02,-0.09
0.57,-9.53,-1.79,0.21,0.01,-0.04
0.01,-9.57,-2.72,0.04,-0.09,0.06
0.62,-9.13,-2.59,0.18,0.11,-0.07
0.77,-9.28,-2.26,0.17,0.02,-0.02
0.81,-9.33,-1.97,0.15,0.04,-0.02
0.71,-9.53,-1.60,0.20,-0.09,0.02
0.88,-9.38,-1.82,0.11,-0.08,0.01
0.82,-9.35,-1.96,0.14,0.04,-0.01
0.80,-9.44,-1.72,0.19,-0.07,0.07
0.81,-9.43,-1.88,0.22,-0.01,0.03
0.94,-9.88,-1.10,0.23,-0.59,-0.26
3.61,-9.26,0.83,1.20,-1.65,-0.13
-3.03,-10.25,0.82,1.08,-4.41,1.91
-5.73,-7.52,-4.38,1.59,-1.43,1.79
-0.87,-9.94,3.02,-0.32,0.09,-0.15
-2.78,-9.27,4.33,-0.73,0.53,-0.91
-0.35,-11.28,0.12,-0.62,0.83,-0.78
-1.53,-8.32,-2.85,-0.44,-2.71,1.98
-2.34,-9.61,-0.08,-0.00,4.09,-1.58
4.33,-8.76,-1.63,-0.73,0.04,-0.38
1.16,-8.91,-3.16,-0.69,1.53,-0.13
2.12,-8.94,-1.02,0.04,1.49,0.07
4.11,-7.95,-2.93,-0.23,0.08,-0.23
4.47,-8.14,-2.40,0.13,0.18,-0.37
4.49,-8.24,-2.62,0.34,0.44,-0.04
5.66,-7.86,-1.61,0.17,0.08,-0.34
6.36,-7.41,-1.49,-0.08,0.04,-0.09
3.56,-9.81,-3.71,0.41,-0.70,2.16
